"filename", "language", "Python", "Batch", "Properties", "PowerShell", "Markdown", "XML", "JSON", "Objective-C", "C", "Makefile", "LaTeX", "C++", "HTML", "CSS", "JavaScript", "reStructuredText", "Ini", "comment", "blank", "total"
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\_camera.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 18, 4, 27
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\_pygame.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 76, 35, 327
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\_surface.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 22, 4, 31
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\camera.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 25, 19, 253
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\font.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 6, 16
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\freetype.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 29, 19, 115
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\include\_pygame.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 106, 112, 498
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\include\bitmask.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 66, 26, 172
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\include\pgcompat.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 10, 26, 109
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\include\pgimport.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 18, 18, 81
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\include\pgplatform.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 28, 13, 93
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\include\pygame.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 27, 4, 35
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\include\pygame_bufferproxy.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 23, 15, 57
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\include\pygame_font.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 22, 12, 51
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Include\site\python3.9\pygame\include\pygame_freetype.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 19, 10, 43
