"filename", "language", "Python", "XML", "comment", "blank", "total"
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\test_file_write.py", "Python", 11, 0, 0, 7, 18
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\connect_four_mini_max_nn\src\textGame.py", "Python", 65, 0, 0, 18, 83
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\mouseinfo\__init__.py", "Python", 563, 0, 172, 167, 902
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\mouseinfo\__main__.py", "Python", 3, 0, 0, 2, 5
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\__init__.py", "Python", 1039, 0, 839, 280, 2158
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\__main__.py", "Python", 2, 0, 0, 0, 2
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\_pyautogui_java.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\_pyautogui_osx.py", "Python", 329, 0, 45, 61, 435
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\_pyautogui_win.py", "Python", 295, 0, 209, 65, 569
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyautogui\_pyautogui_x11.py", "Python", 210, 0, 46, 45, 301
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pygetwindow\__init__.py", "Python", 229, 0, 40, 81, 350
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pygetwindow\_pygetwindow_macos.py", "Python", 90, 0, 31, 54, 175
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pygetwindow\_pygetwindow_win.py", "Python", 172, 0, 106, 74, 352
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pymsgbox\__init__.py", "Python", 256, 0, 85, 102, 443
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pymsgbox\_native_win.py", "Python", 113, 0, 22, 19, 154
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyperclip\__init__.py", "Python", 426, 0, 170, 140, 736
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyperclip\__main__.py", "Python", 17, 0, 0, 1, 18
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyrect\__init__.py", "Python", 870, 0, 451, 142, 1463
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pyscreeze\__init__.py", "Python", 391, 0, 156, 94, 641
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\pytweening\__init__.py", "Python", 210, 0, 312, 73, 595
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\__init__.py", "Python", 7, 0, 4, 4, 15
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\__init__.py", "Python", 66, 0, 4, 4, 74
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\experimental\__init__.py", "Python", 19, 0, 4, 4, 27
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\export\__init__.py", "Python", 15, 0, 7, 4, 26
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\inputs\__init__.py", "Python", 8, 0, 4, 4, 16
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\tpu\__init__.py", "Python", 12, 0, 4, 4, 20
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\tpu\experimental\__init__.py", "Python", 7, 0, 4, 4, 15
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v1\v1.py", "Python", 7, 0, 4, 4, 15
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\__init__.py", "Python", 59, 0, 4, 2, 65
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\experimental\__init__.py", "Python", 13, 0, 4, 2, 19
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\export\__init__.py", "Python", 10, 0, 7, 2, 19
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\inputs\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\_api\v2\v2.py", "Python", 2, 0, 4, 2, 8
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\__init__.py", "Python", 7, 0, 4, 4, 15
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\__init__.py", "Python", 0, 0, 0, 1, 1
